num,name,price,type,star,sold,from,img_src,url
1,กระเทียม สินค้าพร้อมส่ง,฿72,general,0.0,no sold,จังหวัดศรีสะเกษ,https://cf.shopee.co.th/file/09cf4656bceac2457f048bf435f1bdd6_tn,https://shopee.co.th//กระเทียม-สินค้าพร้อมส่ง-i.186802277.8712950587
2,กระเทียมโทนดองน้ำผึ้ง,฿180,general,0.0,no sold,จังหวัดแพร่,https://cf.shopee.co.th/file/ceddd79215014937b1557421a4f2a75e_tn,https://shopee.co.th//กระเทียมโทนดองน้ำผึ้ง-i.347488735.8801148764
3,"🧄กระเทียมปิงปอง🧄 ขนาด 500 กรัม,1 กิโลกรัม ✅คัดเกรด คุณภาพดี กระเทียมจีนหัว ขาว เนื้อแน่น เกรด A สดใหม่",฿40 - ฿80,ร้านแนะนำ,4.9412,49.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/5238b8eca522c860734122fd1219b9da_tn,https://shopee.co.th//🧄กระเทียมปิงปอง🧄-ขนาด-500-กรัม-1-กิโลกรัม-✅คัดเกรด-คุณภาพดี-กระเทียมจีนหัว-ขาว-เนื้อแน่น-เกรด-A-สดใหม่-i.323273381.6061633361
4,หอมกระเทียม 1 กิโลกรัม,฿99,general,4.8889,10.0,จังหวัดภูเก็ต,https://cf.shopee.co.th/file/0cc504ca8c7d2798c6da504f2342e734_tn,https://shopee.co.th//หอมกระเทียม-1-กิโลกรัม-i.229770615.7851793235
5,"🧄กระเทียมจุก🧄 ขนาด 500 กรัม,1 กิโลกรัม ✅คัดเกรด คุณภาพดี กระเทียมไทยมัดจุก เนื้อแน่น เกรด A กลีบใหญ่ ไม่ลีบไม่ฝ่อ",฿50 - ฿100,ร้านแนะนำ,5.0,12.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/446b3d302293ebf9b9d2617d3f8415ba_tn,https://shopee.co.th//🧄กระเทียมจุก🧄-ขนาด-500-กรัม-1-กิโลกรัม-✅คัดเกรด-คุณภาพดี-กระเทียมไทยมัดจุก-เนื้อแน่น-เกรด-A-กลีบใหญ่-ไม่ลีบไม่ฝ่อ-i.323273381.5661639319
6,กระเทียมคัดพิเศษ กิโลกรัมละ 59.-สวยสด อร่อย🪴,฿59,general,4.7331,464.0,จังหวัดบุรีรัมย์,https://cf.shopee.co.th/file/c3de98f6050a8e25557c39352cc340e8_tn,https://shopee.co.th//กระเทียมคัดพิเศษ-กิโลกรัมละ-59.-สวยสด-อร่อย🪴-i.73063032.7110626780
7,🚐พร้อมส่ง🚐กระเทียมปอกเปลือก กระเทียมเเกะเปลือก กระเทียมสดปลอกเปลือก แพ็คสุญญากาศ,฿35 - ฿119,general,4.6111,52.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/fdebb7865861d2ff5234949d4bb71e37_tn,https://shopee.co.th//🚐พร้อมส่ง🚐กระเทียมปอกเปลือก-กระเทียมเเกะเปลือก-กระเทียมสดปลอกเปลือก-แพ็คสุญญากาศ-i.101060171.8513555625
8,กระเทียมหัว garlic ผักสด,฿20 - ฿100,general,4.8,166.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/34ad22083062536e938d9105fd014105_tn,https://shopee.co.th//กระเทียมหัว-garlic-ผักสด-i.369331220.4274182441
9,"🧄กระเทียมไทย เบอร์ 4 กลีบเล็ก🧄 ขนาด 500 กรัม,1 กิโลกรัม ✅คัดเกรด คุณภาพดี กระเทียมแกะกลีบ เกรด A สดใหม่ ไม่ลีบไม่ฝ่อ",฿50 - ฿100,ร้านแนะนำ,4.775,94.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/361a5e5f8f2c757607201c6f20dfeb27_tn,https://shopee.co.th//🧄กระเทียมไทย-เบอร์-4-กลีบเล็ก🧄-ขนาด-500-กรัม-1-กิโลกรัม-✅คัดเกรด-คุณภาพดี-กระเทียมแกะกลีบ-เกรด-A-สดใหม่-ไม่ลีบไม่ฝ่อ-i.323273381.7261627557
10,กระเทียมโทน สด เม็ดใหญ่ เม็ดสวยๆ,฿140 - ฿150,general,4.8293,299.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/c5f4796ebeef261a6464244e665d2669_tn,https://shopee.co.th//กระเทียมโทน-สด-เม็ดใหญ่-เม็ดสวยๆ-i.155991710.3845377536
11,"🧄กระเทียมปิงปอง🧄 ขนาด 500 กรัม,1 กิโลกรัม ✅คัดเกรด คุณภาพดี กระเทียมจีนหัว ขาว เนื้อแน่น เกรด A สดใหม่",฿40 - ฿80,ร้านแนะนำ,4.9412,49.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/5238b8eca522c860734122fd1219b9da_tn,https://shopee.co.th//🧄กระเทียมปิงปอง🧄-ขนาด-500-กรัม-1-กิโลกรัม-✅คัดเกรด-คุณภาพดี-กระเทียมจีนหัว-ขาว-เนื้อแน่น-เกรด-A-สดใหม่-i.323273381.6061633361
12,🚐พร้อมส่ง🚐กระเทียมสด ปอกเปลือก กระเทียมเเกะเปลือก กระเทียมปอกเปลือก แพ็คสุญญากาศ กลีบใหญ่ ไม่ลีบ ไม่ฝ่อ,฿70,general,5.0,12.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/66c63e3e435c0bbd26c63018f75cf795_tn,https://shopee.co.th//🚐พร้อมส่ง🚐กระเทียมสด-ปอกเปลือก-กระเทียมเเกะเปลือก-กระเทียมปอกเปลือก-แพ็คสุญญากาศ-กลีบใหญ่-ไม่ลีบ-ไม่ฝ่อ-i.101060171.6078952797
13,กระเทียมกลีบเล็ก small clove of garlic ผักสด,฿30 - ฿120,general,4.8125,24.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/8b73c53a2d14dee780b7be4645b13641_tn,https://shopee.co.th//กระเทียมกลีบเล็ก-small-clove-of-garlic-ผักสด-i.369331220.6674224907
14,กระเทียมโทนสด 1 กิโล จังหวัดเชียงใหม่ มีเก็บเงินปลายทาง,฿160,ร้านแนะนำ,4.9167,52.0,จังหวัดเชียงใหม่,https://cf.shopee.co.th/file/ab769e451a507d5adc9a9c5697ef736f_tn,https://shopee.co.th//กระเทียมโทนสด-1-กิโล-จังหวัดเชียงใหม่-มีเก็บเงินปลายทาง-i.54833404.6820138283
15,กระเทียมไทยเบอร์3 แกะกลีบ สด สะอาด รับประกันคุณภาพ,฿75 - ฿150,ร้านแนะนำ,4.5652,44.0,จังหวัดนนทบุรี,https://cf.shopee.co.th/file/cbcf98800467d247535aeef2a1fae303_tn,https://shopee.co.th//กระเทียมไทยเบอร์3-แกะกลีบ-สด-สะอาด-รับประกันคุณภาพ-i.20592.6949819409
16,ผงกระเทียมบดป่น กลิ่นแรงกว่ากระเทียมสด,฿150 - ฿390,ร้านแนะนำ,4.8061,915.0,จังหวัดกรุงเทพมหานคร,https://cf.shopee.co.th/file/94a44d48088865ab5db069fafc1137be_tn,https://shopee.co.th//ผงกระเทียมบดป่น-กลิ่นแรงกว่ากระเทียมสด-i.16746493.1027819068
17,"🧄กระเทียมไทย เบอร์ 2 กลีบใหญ่🧄 ขนาด 500 กรัม,1 กิโลกรัม ✅คัดเกรด คุณภาพดี กระเทียมแกะกลีบ เกรด A สดใหม่ ไม่ลีบไม่ฝ่อ",฿50 - ฿100,ร้านแนะนำ,4.7273,19.0,จังหวัดสมุทรปราการ,https://cf.shopee.co.th/file/8186952ad8bab34a1970e0d59854de9f_tn,https://shopee.co.th//🧄กระเทียมไทย-เบอร์-2-กลีบใหญ่🧄-ขนาด-500-กรัม-1-กิโลกรัม-✅คัดเกรด-คุณภาพดี-กระเทียมแกะกลีบ-เกรด-A-สดใหม่-ไม่ลีบไม่ฝ่อ-i.323273381.3170344252
18,กระเทียมโทนแกะเปลือกรุ่น1กิโลกรัมเนื้อแน่นสดใหม่,฿170,general,4.5333,37.0,จังหวัดศรีสะเกษ,https://cf.shopee.co.th/file/078c081cc9dd9d6b83828ba5ca6c666b_tn,https://shopee.co.th//กระเทียมโทนแกะเปลือกรุ่น1กิโลกรัมเนื้อแน่นสดใหม่-i.165777162.6855688720
